,capped_normalized_return,eval_episode_return,eval_frame_rate,eval_num_episodes,frame,human_gap,iteration,normalized_return,train_episode_return,train_exploration_epsilon,train_frame_rate,train_num_episodes,environment_name,seed
0,-1,0.0,-1,-1,0,-1,-1,-0.11147478900670849,-1,-1,-1,-1,solaris,2
1,-1,0.0,-1,-1,2000000,-1,-1,-0.11147478900670849,-1,-1,-1,-1,solaris,2
2,-1,638.0,-1,-1,4000000,-1,-1,-0.053947558248575334,-1,-1,-1,-1,solaris,2
3,-1,796.0,-1,-1,6000000,-1,-1,-0.03970100266897496,-1,-1,-1,-1,solaris,2
4,-1,1410.0,-1,-1,8000000,-1,-1,0.015662194330231555,-1,-1,-1,-1,solaris,2
5,-1,1242.0,-1,-1,10000000,-1,-1,0.0005139580177450808,-1,-1,-1,-1,solaris,2
6,-1,1692.0,-1,-1,12000000,-1,-1,0.04108959099761956,-1,-1,-1,-1,solaris,2
7,-1,806.0,-1,-1,14000000,-1,-1,-0.038799321936088864,-1,-1,-1,-1,solaris,2
8,-1,0.0,-1,-1,16000000,-1,-1,-0.11147478900670849,-1,-1,-1,-1,solaris,2
9,-1,758.0,-1,-1,18000000,-1,-1,-0.043127389453942136,-1,-1,-1,-1,solaris,2
10,-1,456.0,-1,-1,20000000,-1,-1,-0.07035814758710235,-1,-1,-1,-1,solaris,2
11,-1,640.0,-1,-1,22000000,-1,-1,-0.053767222101998115,-1,-1,-1,-1,solaris,2
12,-1,1194.0,-1,-1,24000000,-1,-1,-0.003814109500108197,-1,-1,-1,-1,solaris,2
13,-1,0.0,-1,-1,26000000,-1,-1,-0.11147478900670849,-1,-1,-1,-1,solaris,2
14,-1,192.0,-1,-1,28000000,-1,-1,-0.09416251893529537,-1,-1,-1,-1,solaris,2
15,-1,616.0,-1,-1,30000000,-1,-1,-0.055931255860924754,-1,-1,-1,-1,solaris,2
16,-1,300.0,-1,-1,32000000,-1,-1,-0.0844243670201255,-1,-1,-1,-1,solaris,2
17,-1,0.0,-1,-1,34000000,-1,-1,-0.11147478900670849,-1,-1,-1,-1,solaris,2
18,-1,0.0,-1,-1,36000000,-1,-1,-0.11147478900670849,-1,-1,-1,-1,solaris,2
19,-1,16.0,-1,-1,38000000,-1,-1,-0.11003209983409072,-1,-1,-1,-1,solaris,2
20,-1,938.0,-1,-1,40000000,-1,-1,-0.026897136261992347,-1,-1,-1,-1,solaris,2
21,-1,-40.0,-1,-1,0,-1,-1,0.02829779922606864,-1,-1,-1,-1,pitfall,3
22,-1,0.0,-1,-1,2000000,-1,-1,0.034274103180887784,-1,-1,-1,-1,pitfall,3
23,-1,0.0,-1,-1,4000000,-1,-1,0.034274103180887784,-1,-1,-1,-1,pitfall,3
24,-1,-2.0,-1,-1,6000000,-1,-1,0.03397528798314683,-1,-1,-1,-1,pitfall,3
25,-1,-204.2,-1,-1,8000000,-1,-1,0.0037650714915360623,-1,-1,-1,-1,pitfall,3
26,-1,-640.0,-1,-1,10000000,-1,-1,-0.0613467600962185,-1,-1,-1,-1,pitfall,3
27,-1,-4.7,-1,-1,12000000,-1,-1,0.033571887466196534,-1,-1,-1,-1,pitfall,3
28,-1,-15.6,-1,-1,14000000,-1,-1,0.03194334463850832,-1,-1,-1,-1,pitfall,3
29,-1,-30.8,-1,-1,16000000,-1,-1,0.029672349135677043,-1,-1,-1,-1,pitfall,3
30,-1,0.0,-1,-1,18000000,-1,-1,0.034274103180887784,-1,-1,-1,-1,pitfall,3
31,-1,0.0,-1,-1,20000000,-1,-1,0.034274103180887784,-1,-1,-1,-1,pitfall,3
32,-1,-13.3,-1,-1,22000000,-1,-1,0.03228698211591042,-1,-1,-1,-1,pitfall,3
33,-1,-4.6,-1,-1,24000000,-1,-1,0.03358682822608358,-1,-1,-1,-1,pitfall,3
34,-1,0.0,-1,-1,26000000,-1,-1,0.034274103180887784,-1,-1,-1,-1,pitfall,3
35,-1,-9.0,-1,-1,28000000,-1,-1,0.03292943479105347,-1,-1,-1,-1,pitfall,3
36,-1,-25.5,-1,-1,30000000,-1,-1,0.03046420940969058,-1,-1,-1,-1,pitfall,3
